Bundesamt für Umwelt BAFU - Abteilung Hydrologie
Office fédéral de lenvironnement OFEV - Division Hydrologie

Abfluss- und Wasserstandsvorhersage
Prévision de débits et niveau d'eaux

Ausgegeben am / Emission:           15.7.2021, 11.06 h MEWZ / HHEC
Meteolauf von / Prévision météo de: 15.7.2021, 04.00 h UTC
Gemessene Werte bis / Valeurs mesurées jusqu'au: 15.7.2021, 08.00 MEWZ / HHEC
Übrige Zeitangaben in / Autres valeurs de temps en : MEWZ / HHEC

Stundenmittel des Wasserstandes [müM] und des Abflusses [m3/s]
Moyenne horaire du niveau d'eau [msm] et du débit [m3/s]

dd mm yyyy hh  H_e01   H_e02   H_e03   H_e04   H_e05   H_e06   H_e07   H_e08   H_e09   H_e10   Q_e01   Q_e02   Q_e03   Q_e04   Q_e05   Q_e06   Q_e07   Q_e08   Q_e09   Q_e10   H_min   H_p25   H_p50   H_p75   H_max   Q_min   Q_p25   Q_p50   Q_p75   Q_max
14 07 2021 08  335.74  335.74  335.74  335.74  335.74  335.74  335.74  335.74  335.74  335.74   880.5   880.5   880.5   880.5   880.5   880.5   880.5   880.5   880.5   880.5  335.74  335.74  335.74  335.74  335.74   880.5   880.5   880.5   880.5   880.5
14 07 2021 09  335.83  335.83  335.83  335.83  335.83  335.83  335.83  335.83  335.83  335.83   900.2   900.2   900.2   900.2   900.2   900.2   900.2   900.2   900.2   900.2  335.83  335.83  335.83  335.83  335.83   900.2   900.2   900.2   900.2   900.2
14 07 2021 10  335.85  335.85  335.85  335.85  335.85  335.85  335.85  335.85  335.85  335.85   906.8   906.8   906.8   906.8   906.8   906.8   906.8   906.8   906.8   906.8  335.85  335.85  335.85  335.85  335.85   906.8   906.8   906.8   906.8   906.8
14 07 2021 11  335.87  335.87  335.87  335.87  335.87  335.87  335.87  335.87  335.87  335.87   909.2   909.2   909.2   909.2   909.2   909.2   909.2   909.2   909.2   909.2  335.87  335.87  335.87  335.87  335.87   909.2   909.2   909.2   909.2   909.2
14 07 2021 12  335.84  335.84  335.84  335.84  335.84  335.84  335.84  335.84  335.84  335.84   903.9   903.9   903.9   903.9   903.9   903.9   903.9   903.9   903.9   903.9  335.84  335.84  335.84  335.84  335.84   903.9   903.9   903.9   903.9   903.9
14 07 2021 13  335.78  335.78  335.78  335.78  335.78  335.78  335.78  335.78  335.78  335.78   891.0   891.0   891.0   891.0   891.0   891.0   891.0   891.0   891.0   891.0  335.78  335.78  335.78  335.78  335.78   891.0   891.0   891.0   891.0   891.0
14 07 2021 14  335.75  335.75  335.75  335.75  335.75  335.75  335.75  335.75  335.75  335.75   883.7   883.7   883.7   883.7   883.7   883.7   883.7   883.7   883.7   883.7  335.75  335.75  335.75  335.75  335.75   883.7   883.7   883.7   883.7   883.7
14 07 2021 15  335.75  335.75  335.75  335.75  335.75  335.75  335.75  335.75  335.75  335.75   884.5   884.5   884.5   884.5   884.5   884.5   884.5   884.5   884.5   884.5  335.75  335.75  335.75  335.75  335.75   884.5   884.5   884.5   884.5   884.5
14 07 2021 16  335.67  335.67  335.67  335.67  335.67  335.67  335.67  335.67  335.67  335.67   865.4   865.4   865.4   865.4   865.4   865.4   865.4   865.4   865.4   865.4  335.67  335.67  335.67  335.67  335.67   865.4   865.4   865.4   865.4   865.4
14 07 2021 17  335.63  335.63  335.63  335.63  335.63  335.63  335.63  335.63  335.63  335.63   857.5   857.5   857.5   857.5   857.5   857.5   857.5   857.5   857.5   857.5  335.63  335.63  335.63  335.63  335.63   857.5   857.5   857.5   857.5   857.5
14 07 2021 18  335.64  335.64  335.64  335.64  335.64  335.64  335.64  335.64  335.64  335.64   859.7   859.7   859.7   859.7   859.7   859.7   859.7   859.7   859.7   859.7  335.64  335.64  335.64  335.64  335.64   859.7   859.7   859.7   859.7   859.7
14 07 2021 19  335.65  335.65  335.65  335.65  335.65  335.65  335.65  335.65  335.65  335.65   860.8   860.8   860.8   860.8   860.8   860.8   860.8   860.8   860.8   860.8  335.65  335.65  335.65  335.65  335.65   860.8   860.8   860.8   860.8   860.8
14 07 2021 20  335.64  335.64  335.64  335.64  335.64  335.64  335.64  335.64  335.64  335.64   858.5   858.5   858.5   858.5   858.5   858.5   858.5   858.5   858.5   858.5  335.64  335.64  335.64  335.64  335.64   858.5   858.5   858.5   858.5   858.5
14 07 2021 21  335.64  335.64  335.64  335.64  335.64  335.64  335.64  335.64  335.64  335.64   859.1   859.1   859.1   859.1   859.1   859.1   859.1   859.1   859.1   859.1  335.64  335.64  335.64  335.64  335.64   859.1   859.1   859.1   859.1   859.1
