date,abfluss,gs1,gs2,gs3,gs4,gs5
2021-07-12 20:45:00,282.7,350,480,550,630,2000
2021-07-12 20:50:00,283.849,350,480,550,630,2000
2021-07-12 20:55:00,284.538,350,480,550,630,2000
2021-07-12 21:00:00,284.538,350,480,550,630,2000
2021-07-12 21:05:00,282.471,350,480,550,630,2000
2021-07-12 21:10:00,284.538,350,480,550,630,2000
2021-07-12 21:15:00,282.7,350,480,550,630,2000
2021-07-12 21:20:00,282.7,350,480,550,630,2000
2021-07-12 21:25:00,282.471,350,480,550,630,2000
2021-07-12 21:30:00,284.308,350,480,550,630,2000
2021-07-12 21:35:00,283.389,350,480,550,630,2000
2021-07-12 21:40:00,282.929,350,480,550,630,2000
2021-07-12 21:45:00,282.929,350,480,550,630,2000
2021-07-12 21:50:00,281.325,350,480,550,630,2000
2021-07-12 21:55:00,281.096,350,480,550,630,2000
2021-07-12 22:00:00,284.538,350,480,550,630,2000
2021-07-12 22:05:00,282.929,350,480,550,630,2000
2021-07-12 22:10:00,282.7,350,480,550,630,2000
2021-07-12 22:15:00,282.242,350,480,550,630,2000
2021-07-12 22:20:00,285.228,350,480,550,630,2000
2021-07-12 22:25:00,281.325,350,480,550,630,2000
2021-07-12 22:30:00,281.554,350,480,550,630,2000
2021-07-12 22:35:00,282.471,350,480,550,630,2000
2021-07-12 22:40:00,282.242,350,480,550,630,2000
2021-07-12 22:45:00,280.638,350,480,550,630,2000
2021-07-12 22:50:00,281.096,350,480,550,630,2000
2021-07-12 22:55:00,284.308,350,480,550,630,2000
2021-07-12 23:00:00,281.784,350,480,550,630,2000
2021-07-12 23:05:00,282.242,350,480,550,630,2000
2021-07-12 23:10:00,279.496,350,480,550,630,2000
2021-07-12 23:15:00,280.638,350,480,550,630,2000
2021-07-12 23:20:00,280.638,350,480,550,630,2000
2021-07-12 23:25:00,280.638,350,480,550,630,2000
2021-07-12 23:30:00,282.013,350,480,550,630,2000
2021-07-12 23:35:00,284.538,350,480,550,630,2000
2021-07-12 23:40:00,283.849,350,480,550,630,2000
2021-07-12 23:45:00,283.849,350,480,550,630,2000
2021-07-12 23:50:00,287.533,350,480,550,630,2000
2021-07-12 23:55:00,285.689,350,480,550,630,2000
2021-07-13 00:00:00,284.308,350,480,550,630,2000
2021-07-13 00:05:00,280.638,350,480,550,630,2000
2021-07-13 00:10:00,282.242,350,480,550,630,2000
2021-07-13 00:15:00,283.159,350,480,550,630,2000
2021-07-13 00:20:00,282.013,350,480,550,630,2000
2021-07-13 00:25:00,280.867,350,480,550,630,2000
2021-07-13 00:30:00,279.953,350,480,550,630,2000
2021-07-13 00:35:00,280.181,350,480,550,630,2000
2021-07-13 00:40:00,281.784,350,480,550,630,2000
2021-07-13 00:45:00,279.724,350,480,550,630,2000
2021-07-13 00:50:00,281.096,350,480,550,630,2000
2021-07-13 00:55:00,281.554,350,480,550,630,2000
2021-07-13 01:00:00,281.096,350,480,550,630,2000
2021-07-13 01:05:00,280.867,350,480,550,630,2000
2021-07-13 01:10:00,278.81,350,480,550,630,2000
2021-07-13 01:15:00,280.409,350,480,550,630,2000
2021-07-13 01:20:00,277.443,350,480,550,630,2000
2021-07-13 01:25:00,279.724,350,480,550,630,2000
2021-07-13 01:30:00,279.724,350,480,550,630,2000
