Time,BAFU_2018_AbflussPneumatik
2021-07-13T12:55:00Z,625.447
2021-07-13T13:00:00Z,627.086
2021-07-13T13:05:00Z,629.431
2021-07-13T13:10:00Z,631.544
2021-07-13T13:15:00Z,633.894
2021-07-13T13:20:00Z,636.011
2021-07-13T13:25:00Z,638.131
2021-07-13T13:30:00Z,640.253
2021-07-13T13:35:00Z,641.905
2021-07-13T13:40:00Z,643.559
2021-07-13T13:45:00Z,645.687
2021-07-13T13:50:00Z,647.107
2021-07-13T13:55:00Z,648.528
2021-07-13T14:00:00Z,650.187
2021-07-13T14:05:00Z,651.611
2021-07-13T14:10:00Z,651.848
2021-07-13T14:15:00Z,652.085
2021-07-13T14:20:00Z,652.797
2021-07-13T14:25:00Z,653.273
2021-07-13T14:30:00Z,653.985
2021-07-13T14:35:00Z,653.985
2021-07-13T14:40:00Z,654.698
2021-07-13T14:45:00Z,655.411
2021-07-13T14:50:00Z,655.887
2021-07-13T14:55:00Z,656.363
2021-07-13T15:00:00Z,657.315
2021-07-13T15:05:00Z,657.791
2021-07-13T15:10:00Z,659.22
2021-07-13T15:15:00Z,660.174
2021-07-13T15:20:00Z,662.32
2021-07-13T15:25:00Z,663.514
2021-07-13T15:30:00Z,665.665
2021-07-13T15:35:00Z,667.101
2021-07-13T15:40:00Z,668.537
2021-07-13T15:45:00Z,670.694
2021-07-13T15:50:00Z,672.373
2021-07-13T15:55:00Z,673.574
2021-07-13T16:00:00Z,675.015
2021-07-13T16:05:00Z,676.217
2021-07-13T16:10:00Z,677.902
2021-07-13T16:15:00Z,679.589
2021-07-13T16:20:00Z,680.794
2021-07-13T16:25:00Z,682
2021-07-13T16:30:00Z,683.207
2021-07-13T16:35:00Z,684.173
2021-07-13T16:40:00Z,685.865
2021-07-13T16:45:00Z,686.833
2021-07-13T16:50:00Z,688.044
2021-07-13T16:55:00Z,690.225
2021-07-13T17:00:00Z,691.68
2021-07-13T17:05:00Z,692.409
2021-07-13T17:10:00Z,693.623
2021-07-13T17:15:00Z,694.838
2021-07-13T17:20:00Z,696.054
2021-07-13T17:25:00Z,697.271
2021-07-13T17:30:00Z,698.489
2021-07-13T17:35:00Z,699.464
2021-07-13T17:40:00Z,700.439
2021-07-13T17:45:00Z,702.148
2021-07-13T17:50:00Z,702.881
2021-07-13T17:55:00Z,704.103
2021-07-13T18:00:00Z,705.081
2021-07-13T18:05:00Z,706.06
2021-07-13T18:10:00Z,707.04
2021-07-13T18:15:00Z,707.529
2021-07-13T18:20:00Z,708.265
2021-07-13T18:25:00Z,709.246
2021-07-13T18:30:00Z,709.981
2021-07-13T18:35:00Z,710.718
2021-07-13T18:40:00Z,711.7
2021-07-13T18:45:00Z,711.946
2021-07-13T18:50:00Z,712.928
2021-07-13T18:55:00Z,713.912
2021-07-13T19:00:00Z,714.65
2021-07-13T19:05:00Z,715.388
2021-07-13T19:10:00Z,716.374
2021-07-13T19:15:00Z,716.374
2021-07-13T19:20:00Z,717.113
2021-07-13T19:25:00Z,717.606
2021-07-13T19:30:00Z,718.592
2021-07-13T19:35:00Z,719.086
2021-07-13T19:40:00Z,719.826
2021-07-13T19:45:00Z,720.073
2021-07-13T19:50:00Z,721.308
2021-07-13T19:55:00Z,722.05
2021-07-13T20:00:00Z,723.286
2021-07-13T20:05:00Z,723.781
2021-07-13T20:10:00Z,724.276
2021-07-13T20:15:00Z,724.524
2021-07-13T20:20:00Z,725.762
2021-07-13T20:25:00Z,726.01
2021-07-13T20:30:00Z,727.002
2021-07-13T20:35:00Z,727.002
2021-07-13T20:40:00Z,727.746
2021-07-13T20:45:00Z,728.739
2021-07-13T20:50:00Z,728.987
2021-07-13T20:55:00Z,729.732
2021-07-13T21:00:00Z,730.478
2021-07-13T21:05:00Z,731.224
2021-07-13T21:10:00Z,731.472
2021-07-13T21:15:00Z,731.224
2021-07-13T21:20:00Z,730.975
2021-07-13T21:25:00Z,731.472
2021-07-13T21:30:00Z,731.224
2021-07-13T21:35:00Z,731.721
2021-07-13T21:40:00Z,732.218
2021-07-13T21:45:00Z,732.467
2021-07-13T21:50:00Z,732.467
2021-07-13T21:55:00Z,732.965
2021-07-13T22:00:00Z,732.965
2021-07-13T22:05:00Z,733.463
2021-07-13T22:10:00Z,734.211
2021-07-13T22:15:00Z,734.46
2021-07-13T22:20:00Z,734.709
2021-07-13T22:25:00Z,735.207
2021-07-13T22:30:00Z,736.954
2021-07-13T22:35:00Z,736.954
2021-07-13T22:40:00Z,737.203
2021-07-13T22:45:00Z,737.453
2021-07-13T22:50:00Z,737.703
2021-07-13T22:55:00Z,737.453
2021-07-13T23:00:00Z,738.452
2021-07-13T23:05:00Z,738.452
2021-07-13T23:10:00Z,739.452
2021-07-13T23:15:00Z,739.452
2021-07-13T23:20:00Z,740.452
2021-07-13T23:25:00Z,741.203
2021-07-13T23:30:00Z,741.954
2021-07-13T23:35:00Z,742.956
2021-07-13T23:40:00Z,743.457
2021-07-13T23:45:00Z,744.21
2021-07-13T23:50:00Z,744.711
2021-07-13T23:55:00Z,745.464
2021-07-14T00:00:00Z,746.217
2021-07-14T00:05:00Z,747.222
2021-07-14T00:10:00Z,747.473
2021-07-14T00:15:00Z,748.479
2021-07-14T00:20:00Z,748.982
2021-07-14T00:25:00Z,749.989
2021-07-14T00:30:00Z,750.997
2021-07-14T00:35:00Z,752.004
2021-07-14T00:40:00Z,751.753
2021-07-14T00:45:00Z,752.508
2021-07-14T00:50:00Z,753.266
2021-07-14T00:55:00Z,754.275
2021-07-14T01:00:00Z,753.771
2021-07-14T01:05:00Z,754.528
2021-07-14T01:10:00Z,755.033
2021-07-14T01:15:00Z,755.285
2021-07-14T01:20:00Z,754.78
2021-07-14T01:25:00Z,755.791
2021-07-14T01:30:00Z,756.803
2021-07-14T01:35:00Z,757.055
2021-07-14T01:40:00Z,757.561
2021-07-14T01:45:00Z,757.814
2021-07-14T01:50:00Z,757.561
2021-07-14T01:55:00Z,758.321
2021-07-14T02:00:00Z,758.828
2021-07-14T02:05:00Z,758.828
2021-07-14T02:10:00Z,759.334
2021-07-14T02:15:00Z,759.587
2021-07-14T02:20:00Z,759.841
2021-07-14T02:25:00Z,759.587
2021-07-14T02:30:00Z,759.587
2021-07-14T02:35:00Z,760.094
2021-07-14T02:40:00Z,760.601
2021-07-14T02:45:00Z,760.348
2021-07-14T02:50:00Z,760.348
2021-07-14T02:55:00Z,760.348
2021-07-14T03:00:00Z,760.094
2021-07-14T03:05:00Z,760.094
2021-07-14T03:10:00Z,759.841
2021-07-14T03:15:00Z,760.094
2021-07-14T03:20:00Z,759.334
2021-07-14T03:25:00Z,759.587
2021-07-14T03:30:00Z,759.587
2021-07-14T03:35:00Z,758.828
2021-07-14T03:40:00Z,759.334
2021-07-14T03:45:00Z,758.574
2021-07-14T03:50:00Z,758.828
2021-07-14T03:55:00Z,758.321
2021-07-14T04:00:00Z,757.814
2021-07-14T04:05:00Z,757.561
2021-07-14T04:10:00Z,758.321
2021-07-14T04:15:00Z,757.561
2021-07-14T04:20:00Z,757.814
2021-07-14T04:25:00Z,757.308
2021-07-14T04:30:00Z,756.55
2021-07-14T04:35:00Z,756.044
2021-07-14T04:40:00Z,755.285
2021-07-14T04:45:00Z,754.528
2021-07-14T04:50:00Z,753.771
2021-07-14T04:55:00Z,753.518
2021-07-14T05:00:00Z,753.266
2021-07-14T05:05:00Z,752.508
2021-07-14T05:10:00Z,751.501
2021-07-14T05:15:00Z,750.493
2021-07-14T05:20:00Z,749.989
2021-07-14T05:25:00Z,749.234
2021-07-14T05:30:00Z,748.228
2021-07-14T05:35:00Z,747.725
2021-07-14T05:40:00Z,746.971
2021-07-14T05:45:00Z,745.464
2021-07-14T05:50:00Z,744.962
2021-07-14T05:55:00Z,743.959
