Time,BAFU_2063_AbflussPneumatikoben
2021-07-12T14:45:00Z,681.526
2021-07-12T14:50:00Z,680.831
2021-07-12T14:55:00Z,680.831
2021-07-12T15:00:00Z,679.791
2021-07-12T15:05:00Z,680.138
2021-07-12T15:10:00Z,679.445
2021-07-12T15:15:00Z,680.138
2021-07-12T15:20:00Z,680.485
2021-07-12T15:25:00Z,680.138
2021-07-12T15:30:00Z,680.485
2021-07-12T15:35:00Z,681.179
2021-07-12T15:40:00Z,681.179
2021-07-12T15:45:00Z,681.874
2021-07-12T15:50:00Z,682.569
2021-07-12T15:55:00Z,682.916
2021-07-12T16:00:00Z,683.611
2021-07-12T16:05:00Z,684.654
2021-07-12T16:10:00Z,685.003
2021-07-12T16:15:00Z,685.699
2021-07-12T16:20:00Z,687.092
2021-07-12T16:25:00Z,687.092
2021-07-12T16:30:00Z,687.789
2021-07-12T16:35:00Z,688.138
2021-07-12T16:40:00Z,688.138
2021-07-12T16:45:00Z,687.789
2021-07-12T16:50:00Z,687.44
2021-07-12T16:55:00Z,688.138
2021-07-12T17:00:00Z,687.44
2021-07-12T17:05:00Z,687.44
2021-07-12T17:10:00Z,687.789
2021-07-12T17:15:00Z,687.44
2021-07-12T17:20:00Z,687.092
2021-07-12T17:25:00Z,687.44
2021-07-12T17:30:00Z,687.092
2021-07-12T17:35:00Z,687.092
2021-07-12T17:40:00Z,686.744
2021-07-12T17:45:00Z,687.092
2021-07-12T17:50:00Z,686.396
2021-07-12T17:55:00Z,686.396
2021-07-12T18:00:00Z,686.047
2021-07-12T18:05:00Z,686.047
2021-07-12T18:10:00Z,686.047
2021-07-12T18:15:00Z,685.351
2021-07-12T18:20:00Z,684.654
2021-07-12T18:25:00Z,683.959
2021-07-12T18:30:00Z,682.916
2021-07-12T18:35:00Z,682.221
2021-07-12T18:40:00Z,681.179
2021-07-12T18:45:00Z,680.485
2021-07-12T18:50:00Z,679.791
2021-07-12T18:55:00Z,679.445
2021-07-12T19:00:00Z,679.445
2021-07-12T19:05:00Z,679.098
2021-07-12T19:10:00Z,679.791
2021-07-12T19:15:00Z,680.138
2021-07-12T19:20:00Z,679.791
2021-07-12T19:25:00Z,679.791
2021-07-12T19:30:00Z,679.098
2021-07-12T19:35:00Z,680.138
2021-07-12T19:40:00Z,679.445
2021-07-12T19:45:00Z,679.791
2021-07-12T19:50:00Z,679.791
2021-07-12T19:55:00Z,681.179
2021-07-12T20:00:00Z,680.831
2021-07-12T20:05:00Z,681.526
2021-07-12T20:10:00Z,681.874
2021-07-12T20:15:00Z,682.569
2021-07-12T20:20:00Z,682.916
2021-07-12T20:25:00Z,683.611
2021-07-12T20:30:00Z,683.959
2021-07-12T20:35:00Z,685.003
2021-07-12T20:40:00Z,685.699
2021-07-12T20:45:00Z,687.092
2021-07-12T20:50:00Z,687.092
2021-07-12T20:55:00Z,687.092
2021-07-12T21:00:00Z,687.44
2021-07-12T21:05:00Z,688.836
2021-07-12T21:10:00Z,690.581
2021-07-12T21:15:00Z,692.678
2021-07-12T21:20:00Z,695.128
2021-07-12T21:25:00Z,696.881
2021-07-12T21:30:00Z,698.283
2021-07-12T21:35:00Z,700.743
2021-07-12T21:40:00Z,700.391
2021-07-12T21:45:00Z,700.743
2021-07-12T21:50:00Z,701.094
2021-07-12T21:55:00Z,701.445
2021-07-12T22:00:00Z,701.445
2021-07-12T22:05:00Z,701.797
2021-07-12T22:10:00Z,701.445
2021-07-12T22:15:00Z,701.445
2021-07-12T22:20:00Z,699.689
2021-07-12T22:25:00Z,698.986
2021-07-12T22:30:00Z,697.932
2021-07-12T22:35:00Z,697.231
2021-07-12T22:40:00Z,695.128
2021-07-12T22:45:00Z,692.678
2021-07-12T22:50:00Z,689.883
2021-07-12T22:55:00Z,687.789
2021-07-12T23:00:00Z,684.654
2021-07-12T23:05:00Z,681.526
2021-07-12T23:10:00Z,676.673
2021-07-12T23:15:00Z,673.905
2021-07-12T23:20:00Z,671.144
2021-07-12T23:25:00Z,669.077
2021-07-12T23:30:00Z,667.011
2021-07-12T23:35:00Z,665.293
2021-07-12T23:40:00Z,665.636
2021-07-12T23:45:00Z,667.355
2021-07-12T23:50:00Z,671.835
2021-07-12T23:55:00Z,678.405
2021-07-13T00:00:00Z,686.396
2021-07-13T00:05:00Z,693.378
2021-07-13T00:10:00Z,698.986
2021-07-13T00:15:00Z,703.205
2021-07-13T00:20:00Z,703.91
2021-07-13T00:25:00Z,705.671
2021-07-13T00:30:00Z,706.024
2021-07-13T00:35:00Z,706.377
2021-07-13T00:40:00Z,706.024
2021-07-13T00:45:00Z,703.91
2021-07-13T00:50:00Z,701.797
2021-07-13T00:55:00Z,701.445
2021-07-13T01:00:00Z,700.743
2021-07-13T01:05:00Z,700.04
2021-07-13T01:10:00Z,700.04
2021-07-13T01:15:00Z,700.04
2021-07-13T01:20:00Z,699.337
2021-07-13T01:25:00Z,698.634
2021-07-13T01:30:00Z,697.231
2021-07-13T01:35:00Z,696.881
2021-07-13T01:40:00Z,695.829
2021-07-13T01:45:00Z,695.128
2021-07-13T01:50:00Z,694.427
2021-07-13T01:55:00Z,694.078
2021-07-13T02:00:00Z,693.728
2021-07-13T02:05:00Z,693.378
2021-07-13T02:10:00Z,693.378
2021-07-13T02:15:00Z,693.728
2021-07-13T02:20:00Z,694.078
2021-07-13T02:25:00Z,694.427
2021-07-13T02:30:00Z,696.18
2021-07-13T02:35:00Z,698.634
2021-07-13T02:40:00Z,700.04
2021-07-13T02:45:00Z,701.797
2021-07-13T02:50:00Z,703.205
2021-07-13T02:55:00Z,704.262
2021-07-13T03:00:00Z,704.966
2021-07-13T03:05:00Z,705.318
2021-07-13T03:10:00Z,704.966
2021-07-13T03:15:00Z,705.671
2021-07-13T03:20:00Z,704.966
2021-07-13T03:25:00Z,703.558
2021-07-13T03:30:00Z,702.853
2021-07-13T03:35:00Z,701.797
2021-07-13T03:40:00Z,701.797
2021-07-13T03:45:00Z,700.391
2021-07-13T03:50:00Z,699.689
2021-07-13T03:55:00Z,697.582
2021-07-13T04:00:00Z,695.829
2021-07-13T04:05:00Z,694.777
2021-07-13T04:10:00Z,693.728
2021-07-13T04:15:00Z,691.979
2021-07-13T04:20:00Z,689.185
2021-07-13T04:25:00Z,686.047
2021-07-13T04:30:00Z,683.264
2021-07-13T04:35:00Z,680.831
2021-07-13T04:40:00Z,678.058
2021-07-13T04:45:00Z,677.019
2021-07-13T04:50:00Z,675.635
2021-07-13T04:55:00Z,674.597
2021-07-13T05:00:00Z,674.943
2021-07-13T05:05:00Z,675.289
2021-07-13T05:10:00Z,674.943
2021-07-13T05:15:00Z,675.981
2021-07-13T05:20:00Z,676.673
2021-07-13T05:25:00Z,677.364
2021-07-13T05:30:00Z,678.405
2021-07-13T05:35:00Z,678.751
2021-07-13T05:40:00Z,678.405
2021-07-13T05:45:00Z,678.405
2021-07-13T05:50:00Z,677.711
2021-07-13T05:55:00Z,677.019
2021-07-13T06:00:00Z,676.327
2021-07-13T06:05:00Z,674.251
2021-07-13T06:10:00Z,673.56
2021-07-13T06:15:00Z,672.87
2021-07-13T06:20:00Z,671.835
2021-07-13T06:25:00Z,671.144
2021-07-13T06:30:00Z,670.454
2021-07-13T06:35:00Z,670.454
2021-07-13T06:40:00Z,670.11
2021-07-13T06:45:00Z,669.077
2021-07-13T06:50:00Z,667.355
2021-07-13T06:55:00Z,665.293
2021-07-13T07:00:00Z,663.575
2021-07-13T07:05:00Z,660.147
2021-07-13T07:10:00Z,658.779
2021-07-13T07:15:00Z,657.411
2021-07-13T07:20:00Z,656.045
2021-07-13T07:25:00Z,655.021
2021-07-13T07:30:00Z,653.998
2021-07-13T07:35:00Z,653.998
2021-07-13T07:40:00Z,653.998
2021-07-13T07:45:00Z,654.68
2021-07-13T07:50:00Z,655.363
2021-07-13T07:55:00Z,656.727
2021-07-13T08:00:00Z,657.753
2021-07-13T08:05:00Z,658.779
2021-07-13T08:10:00Z,661.518
2021-07-13T08:15:00Z,662.89
2021-07-13T08:20:00Z,664.949
2021-07-13T08:25:00Z,665.636
2021-07-13T08:30:00Z,667.355
2021-07-13T08:35:00Z,668.044
2021-07-13T08:40:00Z,669.765
2021-07-13T08:45:00Z,672.525
2021-07-13T08:50:00Z,675.635
2021-07-13T08:55:00Z,680.485
2021-07-13T09:00:00Z,686.047
2021-07-13T09:05:00Z,693.028
2021-07-13T09:10:00Z,698.634
2021-07-13T09:15:00Z,705.318
2021-07-13T09:20:00Z,711.677
2021-07-13T09:25:00Z,716.995
2021-07-13T09:30:00Z,721.618
2021-07-13T09:35:00Z,726.968
2021-07-13T09:40:00Z,733.412
2021-07-13T09:45:00Z,739.161
2021-07-13T09:50:00Z,742.764
2021-07-13T09:55:00Z,748.182
2021-07-13T10:00:00Z,752.168
2021-07-13T10:05:00Z,755.072
2021-07-13T10:10:00Z,757.981
2021-07-13T10:15:00Z,759.801
2021-07-13T10:20:00Z,761.624
2021-07-13T10:25:00Z,763.448
2021-07-13T10:30:00Z,765.64
2021-07-13T10:35:00Z,769.299
2021-07-13T10:40:00Z,773.333
2021-07-13T10:45:00Z,776.641
2021-07-13T10:50:00Z,780.323
2021-07-13T10:55:00Z,783.644
2021-07-13T11:00:00Z,787.341
2021-07-13T11:05:00Z,789.192
2021-07-13T11:10:00Z,791.046
2021-07-13T11:15:00Z,791.787
2021-07-13T11:20:00Z,791.417
2021-07-13T11:25:00Z,790.675
2021-07-13T11:30:00Z,790.304
2021-07-13T11:35:00Z,789.934
2021-07-13T11:40:00Z,789.563
2021-07-13T11:45:00Z,789.934
2021-07-13T11:50:00Z,790.675
2021-07-13T11:55:00Z,789.934
2021-07-13T12:00:00Z,789.563
2021-07-13T12:05:00Z,789.563
2021-07-13T12:10:00Z,791.046
2021-07-13T12:15:00Z,791.046
2021-07-13T12:20:00Z,791.787
2021-07-13T12:25:00Z,792.158
2021-07-13T12:30:00Z,792.158
2021-07-13T12:35:00Z,792.529
2021-07-13T12:40:00Z,792.529
2021-07-13T12:45:00Z,792.901
2021-07-13T12:50:00Z,794.015
2021-07-13T12:55:00Z,795.872
2021-07-13T13:00:00Z,796.989
2021-07-13T13:05:00Z,798.106
