Time,BAFU_2088_PegelRadar
2021-07-14T08:10:00Z,470.845
2021-07-14T08:20:00Z,470.844
2021-07-14T08:30:00Z,470.844
2021-07-14T08:40:00Z,470.843
2021-07-14T08:50:00Z,470.842
2021-07-14T09:00:00Z,470.841
2021-07-14T09:10:00Z,470.841
2021-07-14T09:20:00Z,470.839
2021-07-14T09:30:00Z,470.835
2021-07-14T09:40:00Z,470.835
2021-07-14T09:50:00Z,470.836
2021-07-14T10:00:00Z,470.836
2021-07-14T10:10:00Z,470.835
2021-07-14T10:20:00Z,470.833
2021-07-14T10:30:00Z,470.833
2021-07-14T10:40:00Z,470.833
2021-07-14T10:50:00Z,470.832
2021-07-14T11:00:00Z,470.831
2021-07-14T11:10:00Z,470.831
2021-07-14T11:20:00Z,470.83
2021-07-14T11:30:00Z,470.829
2021-07-14T11:40:00Z,470.829
2021-07-14T11:50:00Z,470.828
2021-07-14T12:00:00Z,470.828
2021-07-14T12:10:00Z,470.827
2021-07-14T12:20:00Z,470.827
2021-07-14T12:30:00Z,470.827
2021-07-14T12:40:00Z,470.823
2021-07-14T12:50:00Z,470.822
2021-07-14T13:00:00Z,470.823
2021-07-14T13:10:00Z,470.824
2021-07-14T13:20:00Z,470.824
2021-07-14T13:30:00Z,470.824
2021-07-14T13:40:00Z,470.818
2021-07-14T13:50:00Z,470.817
2021-07-14T14:00:00Z,470.816
2021-07-14T14:10:00Z,470.816
2021-07-14T14:20:00Z,470.816
2021-07-14T14:30:00Z,470.815
2021-07-14T14:40:00Z,470.813
2021-07-14T14:50:00Z,470.814
2021-07-14T15:00:00Z,470.816
2021-07-14T15:10:00Z,470.816
2021-07-14T15:20:00Z,470.816
2021-07-14T15:30:00Z,470.814
2021-07-14T15:40:00Z,470.812
2021-07-14T15:50:00Z,470.81
2021-07-14T16:00:00Z,470.811
2021-07-14T16:10:00Z,470.809
2021-07-14T16:20:00Z,470.809
2021-07-14T16:30:00Z,470.811
2021-07-14T16:40:00Z,470.809
2021-07-14T16:50:00Z,470.809
2021-07-14T17:00:00Z,470.808
2021-07-14T17:10:00Z,470.809
2021-07-14T17:20:00Z,470.807
2021-07-14T17:30:00Z,470.806
2021-07-14T17:40:00Z,470.806
2021-07-14T17:50:00Z,470.805
2021-07-14T18:00:00Z,470.804
2021-07-14T18:10:00Z,470.806
2021-07-14T18:20:00Z,470.807
2021-07-14T18:30:00Z,470.807
2021-07-14T18:40:00Z,470.807
2021-07-14T18:50:00Z,470.807
2021-07-14T19:00:00Z,470.807
2021-07-14T19:10:00Z,470.807
2021-07-14T19:20:00Z,470.806
2021-07-14T19:30:00Z,470.805
2021-07-14T19:40:00Z,470.804
2021-07-14T19:50:00Z,470.804
2021-07-14T20:00:00Z,470.804
2021-07-14T20:10:00Z,470.804
2021-07-14T20:20:00Z,470.803
2021-07-14T20:30:00Z,470.804
2021-07-14T20:40:00Z,470.804
2021-07-14T20:50:00Z,470.804
2021-07-14T21:00:00Z,470.804
2021-07-14T21:10:00Z,470.804
2021-07-14T21:20:00Z,470.804
2021-07-14T21:30:00Z,470.804
2021-07-14T21:40:00Z,470.803
2021-07-14T21:50:00Z,470.803
2021-07-14T22:00:00Z,470.803
2021-07-14T22:10:00Z,470.803
2021-07-14T22:20:00Z,470.802
2021-07-14T22:30:00Z,470.802
2021-07-14T22:40:00Z,470.801
2021-07-14T22:50:00Z,470.801
2021-07-14T23:00:00Z,470.8
2021-07-14T23:10:00Z,470.8
2021-07-14T23:20:00Z,470.799
2021-07-14T23:30:00Z,470.798
2021-07-14T23:40:00Z,470.797
2021-07-14T23:50:00Z,470.797
2021-07-15T00:00:00Z,470.797
2021-07-15T00:10:00Z,470.797
2021-07-15T00:20:00Z,470.796
2021-07-15T00:30:00Z,470.796
2021-07-15T00:40:00Z,470.795
2021-07-15T00:50:00Z,470.796
2021-07-15T01:00:00Z,470.796
2021-07-15T01:10:00Z,470.795
2021-07-15T01:20:00Z,470.795
2021-07-15T01:30:00Z,470.795
2021-07-15T01:40:00Z,470.794
2021-07-15T01:50:00Z,470.793
2021-07-15T02:00:00Z,470.795
2021-07-15T02:10:00Z,470.794
2021-07-15T02:20:00Z,470.796
2021-07-15T02:30:00Z,470.798
2021-07-15T02:40:00Z,470.798
2021-07-15T02:50:00Z,470.799
2021-07-15T03:00:00Z,470.8
2021-07-15T03:10:00Z,470.802
2021-07-15T03:20:00Z,470.805
2021-07-15T03:30:00Z,470.809
2021-07-15T03:40:00Z,470.806
2021-07-15T03:50:00Z,470.809
2021-07-15T04:00:00Z,470.811
2021-07-15T04:10:00Z,470.812
2021-07-15T04:20:00Z,470.816
2021-07-15T04:30:00Z,470.819
2021-07-15T04:40:00Z,470.821
2021-07-15T04:50:00Z,470.823
2021-07-15T05:00:00Z,470.824
2021-07-15T05:10:00Z,470.826
2021-07-15T05:20:00Z,470.827
2021-07-15T05:30:00Z,470.827
2021-07-15T05:40:00Z,470.83
2021-07-15T05:50:00Z,470.829
2021-07-15T06:00:00Z,470.83
2021-07-15T06:10:00Z,470.83
2021-07-15T06:20:00Z,470.83
2021-07-15T06:30:00Z,470.833
2021-07-15T06:40:00Z,470.833
2021-07-15T06:50:00Z,470.833
2021-07-15T07:00:00Z,470.836
2021-07-15T07:10:00Z,470.836
2021-07-15T07:20:00Z,470.836
2021-07-15T07:30:00Z,470.835
2021-07-15T07:40:00Z,470.837
2021-07-15T07:50:00Z,470.839
2021-07-15T08:00:00Z,470.838
2021-07-15T08:10:00Z,470.838
2021-07-15T08:20:00Z,470.838
2021-07-15T08:30:00Z,470.838
2021-07-15T08:40:00Z,470.837
2021-07-15T08:50:00Z,470.839
2021-07-15T09:00:00Z,470.84
2021-07-15T09:10:00Z,470.84
2021-07-15T09:20:00Z,470.841
2021-07-15T09:30:00Z,470.843
2021-07-15T09:40:00Z,470.845
2021-07-15T09:50:00Z,470.845
2021-07-15T10:00:00Z,470.845
2021-07-15T10:10:00Z,470.846
2021-07-15T10:20:00Z,470.849
2021-07-15T10:30:00Z,470.849
2021-07-15T10:40:00Z,470.85
2021-07-15T10:50:00Z,470.849
2021-07-15T11:00:00Z,470.849
2021-07-15T11:10:00Z,470.85
2021-07-15T11:20:00Z,470.851
2021-07-15T11:30:00Z,470.852
2021-07-15T11:40:00Z,470.851
2021-07-15T11:50:00Z,470.854
2021-07-15T12:00:00Z,470.853
2021-07-15T12:10:00Z,470.852
2021-07-15T12:20:00Z,470.854
2021-07-15T12:30:00Z,470.854
2021-07-15T12:40:00Z,470.855
2021-07-15T12:50:00Z,470.855
2021-07-15T13:00:00Z,470.855
2021-07-15T13:10:00Z,470.854
2021-07-15T13:20:00Z,470.855
2021-07-15T13:30:00Z,470.854
2021-07-15T13:40:00Z,470.854
2021-07-15T13:50:00Z,470.854
2021-07-15T14:00:00Z,470.854
2021-07-15T14:10:00Z,470.855
2021-07-15T14:20:00Z,470.854
2021-07-15T14:30:00Z,470.855
2021-07-15T14:40:00Z,470.854
2021-07-15T14:50:00Z,470.855
2021-07-15T15:00:00Z,470.855
2021-07-15T15:10:00Z,470.855
2021-07-15T15:20:00Z,470.856
2021-07-15T15:30:00Z,470.858
2021-07-15T15:40:00Z,470.859
2021-07-15T15:50:00Z,470.86
2021-07-15T16:00:00Z,470.859
2021-07-15T16:10:00Z,470.86
2021-07-15T16:20:00Z,470.862
2021-07-15T16:30:00Z,470.861
2021-07-15T16:40:00Z,470.859
2021-07-15T16:50:00Z,470.86
2021-07-15T17:00:00Z,470.864
2021-07-15T17:10:00Z,470.863
2021-07-15T17:20:00Z,470.868
2021-07-15T17:30:00Z,470.872
2021-07-15T17:40:00Z,470.874
2021-07-15T17:50:00Z,470.876
2021-07-15T18:00:00Z,470.878
2021-07-15T18:10:00Z,470.88
2021-07-15T18:20:00Z,470.882
2021-07-15T18:30:00Z,470.885
2021-07-15T18:40:00Z,470.887
2021-07-15T18:50:00Z,470.89
2021-07-15T19:00:00Z,470.892
