Time,BAFU_2473_AbflussPneumatikFluss
2021-07-17T15:45:00Z,444.749
2021-07-17T15:50:00Z,445.761
2021-07-17T15:55:00Z,446.521
2021-07-17T16:00:00Z,447.789
2021-07-17T16:05:00Z,448.549
2021-07-17T16:10:00Z,450.073
2021-07-17T16:15:00Z,450.835
2021-07-17T16:20:00Z,451.852
2021-07-17T16:25:00Z,452.615
2021-07-17T16:30:00Z,453.633
2021-07-17T16:35:00Z,454.907
2021-07-17T16:40:00Z,456.436
2021-07-17T16:45:00Z,457.713
2021-07-17T16:50:00Z,459.245
2021-07-17T16:55:00Z,460.78
2021-07-17T17:00:00Z,461.803
2021-07-17T17:05:00Z,462.828
2021-07-17T17:10:00Z,464.109
2021-07-17T17:15:00Z,464.366
2021-07-17T17:20:00Z,464.623
2021-07-17T17:25:00Z,464.623
2021-07-17T17:30:00Z,464.623
2021-07-17T17:35:00Z,464.109
2021-07-17T17:40:00Z,463.597
2021-07-17T17:45:00Z,462.572
2021-07-17T17:50:00Z,461.547
2021-07-17T17:55:00Z,460.524
2021-07-17T18:00:00Z,458.734
2021-07-17T18:05:00Z,457.202
2021-07-17T18:10:00Z,456.181
2021-07-17T18:15:00Z,454.652
2021-07-17T18:20:00Z,452.615
2021-07-17T18:25:00Z,450.581
2021-07-17T18:30:00Z,449.057
2021-07-17T18:35:00Z,447.282
2021-07-17T18:40:00Z,445.761
2021-07-17T18:45:00Z,444.243
2021-07-17T18:50:00Z,442.474
2021-07-17T18:55:00Z,440.958
2021-07-17T19:00:00Z,439.697
2021-07-17T19:05:00Z,438.437
2021-07-17T19:10:00Z,437.178
2021-07-17T19:15:00Z,435.92
2021-07-17T19:20:00Z,435.668
2021-07-17T19:25:00Z,434.664
2021-07-17T19:30:00Z,433.659
2021-07-17T19:35:00Z,432.906
2021-07-17T19:40:00Z,432.404
2021-07-17T19:45:00Z,431.903
2021-07-17T19:50:00Z,431.401
2021-07-17T19:55:00Z,431.15
2021-07-17T20:00:00Z,431.15
2021-07-17T20:05:00Z,431.15
2021-07-17T20:10:00Z,431.15
2021-07-17T20:15:00Z,431.15
2021-07-17T20:20:00Z,431.652
2021-07-17T20:25:00Z,432.404
2021-07-17T20:30:00Z,432.404
2021-07-17T20:35:00Z,432.655
2021-07-17T20:40:00Z,433.407
2021-07-17T20:45:00Z,433.91
2021-07-17T20:50:00Z,435.166
2021-07-17T20:55:00Z,436.171
2021-07-17T21:00:00Z,437.933
2021-07-17T21:05:00Z,440.202
2021-07-17T21:10:00Z,441.968
2021-07-17T21:15:00Z,444.243
2021-07-17T21:20:00Z,446.014
2021-07-17T21:25:00Z,448.042
2021-07-17T21:30:00Z,450.581
2021-07-17T21:35:00Z,453.633
2021-07-17T21:40:00Z,456.947
2021-07-17T21:45:00Z,460.012
2021-07-17T21:50:00Z,462.572
2021-07-17T21:55:00Z,465.649
2021-07-17T22:00:00Z,467.704
2021-07-17T22:05:00Z,470.019
2021-07-17T22:10:00Z,471.049
2021-07-17T22:15:00Z,472.338
2021-07-17T22:20:00Z,472.596
2021-07-17T22:25:00Z,473.112
2021-07-17T22:30:00Z,473.37
2021-07-17T22:35:00Z,473.886
2021-07-17T22:40:00Z,474.144
2021-07-17T22:45:00Z,473.886
2021-07-17T22:50:00Z,473.886
2021-07-17T22:55:00Z,474.661
2021-07-17T23:00:00Z,475.177
2021-07-17T23:05:00Z,476.211
2021-07-17T23:10:00Z,476.211
2021-07-17T23:15:00Z,477.504
2021-07-17T23:20:00Z,478.798
2021-07-17T23:25:00Z,479.834
2021-07-17T23:30:00Z,481.13
2021-07-17T23:35:00Z,482.168
2021-07-17T23:40:00Z,483.466
2021-07-17T23:45:00Z,484.765
2021-07-17T23:50:00Z,485.806
2021-07-17T23:55:00Z,487.628
2021-07-18T00:00:00Z,489.973
2021-07-18T00:05:00Z,492.322
2021-07-18T00:10:00Z,494.414
2021-07-18T00:15:00Z,497.818
2021-07-18T00:20:00Z,500.441
2021-07-18T00:25:00Z,504.648
2021-07-18T00:30:00Z,508.865
2021-07-18T00:35:00Z,512.829
2021-07-18T00:40:00Z,517.599
2021-07-18T00:45:00Z,521.318
2021-07-18T00:50:00Z,525.313
2021-07-18T00:55:00Z,528.515
2021-07-18T01:00:00Z,531.456
2021-07-18T01:05:00Z,533.599
2021-07-18T01:10:00Z,536.548
2021-07-18T01:15:00Z,539.235
2021-07-18T01:20:00Z,541.925
2021-07-18T01:25:00Z,545.969
2021-07-18T01:30:00Z,551.105
2021-07-18T01:35:00Z,555.985
2021-07-18T01:40:00Z,561.423
2021-07-18T01:45:00Z,567.151
2021-07-18T01:50:00Z,572.624
2021-07-18T01:55:00Z,578.115
2021-07-18T02:00:00Z,583.071
2021-07-18T02:05:00Z,586.935
2021-07-18T02:10:00Z,591.361
2021-07-18T02:15:00Z,595.243
2021-07-18T02:20:00Z,598.578
2021-07-18T02:25:00Z,601.361
2021-07-18T02:30:00Z,604.706
2021-07-18T02:35:00Z,605.822
2021-07-18T02:40:00Z,608.337
2021-07-18T02:45:00Z,610.016
2021-07-18T02:50:00Z,611.976
2021-07-18T02:55:00Z,612.537
2021-07-18T03:00:00Z,614.218
2021-07-18T03:05:00Z,614.499
2021-07-18T03:10:00Z,614.78
2021-07-18T03:15:00Z,615.061
2021-07-18T03:20:00Z,616.464
2021-07-18T03:25:00Z,616.464
2021-07-18T03:30:00Z,616.745
2021-07-18T03:35:00Z,617.869
2021-07-18T03:40:00Z,617.869
2021-07-18T03:45:00Z,617.588
2021-07-18T03:50:00Z,618.994
2021-07-18T03:55:00Z,619.556
2021-07-18T04:00:00Z,620.119
2021-07-18T04:05:00Z,620.119
2021-07-18T04:10:00Z,620.963
2021-07-18T04:15:00Z,620.963
2021-07-18T04:20:00Z,622.09
2021-07-18T04:25:00Z,622.09
2021-07-18T04:30:00Z,621.808
2021-07-18T04:35:00Z,621.527
2021-07-18T04:40:00Z,621.527
2021-07-18T04:45:00Z,620.4
2021-07-18T04:50:00Z,619.275
2021-07-18T04:55:00Z,618.15
2021-07-18T05:00:00Z,615.341
2021-07-18T05:05:00Z,613.377
2021-07-18T05:10:00Z,611.136
2021-07-18T05:15:00Z,608.617
2021-07-18T05:20:00Z,605.543
2021-07-18T05:25:00Z,603.311
2021-07-18T05:30:00Z,599.969
2021-07-18T05:35:00Z,598.3
2021-07-18T05:40:00Z,595.799
2021-07-18T05:45:00Z,593.302
2021-07-18T05:50:00Z,591.361
2021-07-18T05:55:00Z,589.423
2021-07-18T06:00:00Z,587.764
2021-07-18T06:05:00Z,586.106
2021-07-18T06:10:00Z,584.45
2021-07-18T06:15:00Z,583.071
2021-07-18T06:20:00Z,581.693
2021-07-18T06:25:00Z,580.041
2021-07-18T06:30:00Z,579.215
2021-07-18T06:35:00Z,577.84
2021-07-18T06:40:00Z,577.291
2021-07-18T06:45:00Z,577.016
2021-07-18T06:50:00Z,576.741
2021-07-18T06:55:00Z,576.741
2021-07-18T07:00:00Z,577.565
2021-07-18T07:05:00Z,578.94
2021-07-18T07:10:00Z,580.041
2021-07-18T07:15:00Z,581.417
2021-07-18T07:20:00Z,582.795
2021-07-18T07:25:00Z,583.898
2021-07-18T07:30:00Z,585.002
2021-07-18T07:35:00Z,585.554
2021-07-18T07:40:00Z,586.382
2021-07-18T07:45:00Z,587.488
