Time,BAFU_2481_AbflussRadar
2021-07-14T02:55:00Z,89.062
2021-07-14T03:00:00Z,88.626
2021-07-14T03:05:00Z,87.537
2021-07-14T03:10:00Z,87.972
2021-07-14T03:15:00Z,90.375
2021-07-14T03:20:00Z,90.485
2021-07-14T03:25:00Z,89.718
2021-07-14T03:30:00Z,90.704
2021-07-14T03:35:00Z,93.017
2021-07-14T03:40:00Z,93.128
2021-07-14T03:45:00Z,92.244
2021-07-14T03:50:00Z,91.584
2021-07-14T03:55:00Z,84.939
2021-07-14T04:00:00Z,85.155
2021-07-14T04:05:00Z,84.4
2021-07-14T04:10:00Z,84.831
2021-07-14T04:15:00Z,83.433
2021-07-14T04:20:00Z,82.791
2021-07-14T04:25:00Z,82.469
2021-07-14T04:30:00Z,81.722
2021-07-14T04:35:00Z,82.256
2021-07-14T04:40:00Z,81.935
2021-07-14T04:45:00Z,82.791
2021-07-14T04:50:00Z,83.112
2021-07-14T04:55:00Z,81.935
2021-07-14T05:00:00Z,80.126
2021-07-14T05:05:00Z,78.856
2021-07-14T05:10:00Z,77.907
2021-07-14T05:15:00Z,78.856
2021-07-14T05:20:00Z,78.856
2021-07-14T05:25:00Z,79.173
2021-07-14T05:30:00Z,78.328
2021-07-14T05:35:00Z,78.645
2021-07-14T05:40:00Z,78.434
2021-07-14T05:45:00Z,77.696
2021-07-14T05:50:00Z,77.907
2021-07-14T05:55:00Z,78.645
2021-07-14T06:00:00Z,77.486
2021-07-14T06:05:00Z,78.328
2021-07-14T06:10:00Z,78.962
2021-07-14T06:15:00Z,78.117
2021-07-14T06:20:00Z,78.856
2021-07-14T06:25:00Z,77.907
2021-07-14T06:30:00Z,78.012
2021-07-14T06:35:00Z,77.381
2021-07-14T06:40:00Z,77.171
2021-07-14T06:45:00Z,76.961
2021-07-14T06:50:00Z,76.542
2021-07-14T06:55:00Z,76.961
2021-07-14T07:00:00Z,78.117
2021-07-14T07:05:00Z,79.067
2021-07-14T07:10:00Z,78.856
2021-07-14T07:15:00Z,78.75
2021-07-14T07:20:00Z,79.279
2021-07-14T07:25:00Z,76.856
2021-07-14T07:30:00Z,78.434
2021-07-14T07:35:00Z,78.539
2021-07-14T07:40:00Z,76.751
2021-07-14T07:45:00Z,77.171
2021-07-14T07:50:00Z,77.065
2021-07-14T07:55:00Z,75.496
2021-07-14T08:00:00Z,76.332
2021-07-14T08:05:00Z,75.6
2021-07-14T08:10:00Z,75.705
2021-07-14T08:15:00Z,75.496
